"","PREDDEG_factor","Control_factor","NPT4_COMBINE","DEP_STAT_PCT_IND","PAR_ED_PCT_1STGEN","MD_FAMINC","PCTPELL","PCTFLOAN","GRAD_DEBT_MDN","WDRAW_DEBT_MDN","APPL_SCH_PCT_GE2","MD_EARN_WNE_P6","MD_EARN_WNE_P10","RPY_3YR_RT_SUPP","CDR3"
"198376","Certificate-degree","Public",6219,0.631937351,0.5240365515,17941.25723,0.7385,0.3053,9500,5300,0.4075587334,20700,24700,0.3492063492,0.179
"44376603","NotClassified","Private For-profit",14962.5,0.9124417741,0.5200258956,17006.54528,0.5266,0.6008,32639,6334,0.4833254574,36500,49200,0.2362218678,0.151
"436429","Associate's-degree","Private For-profit",20320,0.4660157717,0.4134524929,15584.75688,0.71,0.8591,19512,6263,0.4119414195,24900,30600,0.4719764012,0.155
"20627901","NotClassified","Private Nonprofit",14962.5,0.9651493599,0.543554007,52914.41936,0.5266,0.6008,17344.5,11500,0.3527738265,42300,39600,0.5317164179,0.075
"441919","Certificate-degree","Private For-profit",14179,0.7884835295,0.5336189234,13186.93475,0.943,0.9002,17886.5,5945.5,0.4176841639,20100,25300,0.1437151703,0.282
"177065","Bachelor's-degree","Private Nonprofit",11276,0.8546710287,0.4945006599,21946.35024,0.523,0.5747,19446.5,5050,0.4830243548,32400,36700,0.4412432338,0.116
"129695","Associate's-degree","Public",4115,0.4170480549,0.5120567376,22591.21131,0.3567,0.0221,4000,2246,0.483409611,25800,33200,0.7115384615,0.096
"227386","Certificate-degree","Public",6499,0.5746180964,0.5164383562,21248.33448,0.1069,0.2713,5250,3500,0.4788484136,25400,29500,0.4088072088,0
"443465","Bachelor's-degree","Private For-profit",19947,0.9178236634,0.5399317561,16576.05959,0.7044,0.7044,29213,5500,0.3939029156,33400,51100,0.2638079401,0.26
"233666","Certificate-degree","Private For-profit",12386,0.5681818182,0.5076923077,15362.39632,0.6712,0.7123,9500,4750,0.4167031045,25000,30600,0.4358974359,0.19
"205124","Bachelor's-degree","Private Nonprofit",6200,0.6112138016,0.5076923077,30847.77516,0.566,0,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"117575","Bachelor's-degree","Private Nonprofit",23746,0.6112138016,0.5076923077,20136.10299,0.41,0.75,14000,5500,0.4167031045,25000,30600,0.4088072088,0.027
"140252","Bachelor's-degree","Private Nonprofit",20438,0.7381422925,0.3199152542,14179.04081,0.4761,0.8044,8334,6916,0.4328063241,31100,34200,0.3746630728,0.116
"369400","Certificate-degree","Private For-profit",22253,0.532311725,0.5336058675,24569.52465,0.5061,0.6628,18359.5,5166,0.1995160803,30600,34800,0.4315766165,0.202
"454810","Certificate-degree","Private For-profit",23955,0.587804878,0.3087431694,27563.06907,0.2479,0.4504,7917,4750,0.3024390244,25000,30600,0.4088072088,0
"124779","Certificate-degree","Private For-profit",14713,0.7226890756,0.4823529412,0,0.5455,0,14000,5500,0.4789915966,13100,14700,0.4088072088,0
"475635","Associate's-degree","Private For-profit",14962.5,0.6112138016,0.5076923077,26369.52168,0.4444,0.6667,14000,5500,0.4167031045,25000,30600,0.4088072088,0
"189705","Bachelor's-degree","Private Nonprofit",17989,0.0716612378,0.2251201098,67434.34427,0.299,0.6352,24000,7125,0.7348534202,33900,45700,0.7234678625,0.066
"188696","Certificate-degree","Private For-profit",22381,0.6112138016,0.5076923077,61490.45327,0.1982,0.2613,14000,5500,0.4576271186,25000,30600,0.4088072088,0
"223898","Certificate-degree","Public",6629,0.4594594595,0.5156862745,24505.04616,0.3494,0.2281,8025,4750,0.4643734644,24600,30200,0.4153182309,0.211
"433174","Associate's-degree","Public",14962.5,0.7104377104,0.3224637681,30645.60158,0.2058,0.5221,13709,4978,0.430976431,41600,47500,0.7239583333,0.031
"147341","Bachelor's-degree","Private Nonprofit",16887,0.0554803789,0.3682634731,55505.46819,0.4178,0.8075,25609.5,9000,0.7631935047,31300,39500,0.7532679739,0.067
"443890","Bachelor's-degree","Private For-profit",18922,0.9178236634,0.5399317561,16576.05959,0.7935,0.8093,29213,5500,0.3939029156,33400,51100,0.2638079401,0.26
"108667","Associate's-degree","Public",5394,0.4991807755,0.5480399693,11816.13076,0.2038,0.0095,14000,5500,0.6400873839,22200,31900,0.4088072088,0.285
"375984","Certificate-degree","Private For-profit",15419,0.5812310797,0.6068965517,8427.449068,0.6463,0.6382,12663,5792.5,0.4722502523,13500,16700,0.1140684411,0.228
"433040","Certificate-degree","Public",15927,0.8245614035,0.4042553191,24377.13367,0.6857,0.9143,14000,5500,0.4167031045,25000,30600,0.4888888889,0.23
"211079","Associate's-degree","Public",8926,0.4098454493,0.4347826087,29709.73356,0.4367,0.3724,10979,5500,0.3589009731,27700,33200,0.4953656025,0.155
"460552","Certificate-degree","Private For-profit",21176,0.7608069164,0.4379084967,22193.96846,0.35,0.4643,9500,4750,0.2391930836,25000,30600,0.4088072088,0
"179450","Bachelor's-degree","Private Nonprofit",14962.5,0.638225256,0.3826714801,38066.2415,0.2214,0.6641,18506.5,11250,0.5631399317,50400,59500,0.8765432099,0.062
"224891","Certificate-degree","Public",4985,0.5619834711,0.5964912281,19127.14234,0.3856,0.1923,7750,4750,0.4330578512,23300,29500,0.3217391304,0.252
"205522","Associate's-degree","Private For-profit",25409,0.8247261346,0.6983240223,10535.85217,0.9174,0.9174,25752,8833,0.3442879499,17800,20100,0.1733021077,0.186
"200572","Bachelor's-degree","Public",11161,0.262350937,0.2992565056,54433.60579,0.2535,0.5037,20838,5500,0.4940374787,32500,37900,0.7613941019,0.057
"150668","Bachelor's-degree","Private Nonprofit",19360,0.2946859903,0.2931937173,58774.69768,0.3225,0.729,19500,6700,0.5628019324,30900,37800,0.8387096774,0.044
"440147","Bachelor's-degree","Private For-profit",24480,0.7698790766,0.5468632842,13793.3886,0.8681,0.8795,37540,6334,0.5040307805,22200,29700,0.1787226834,0.225
"455220","Certificate-degree","Private Nonprofit",6846,0.5660377358,0.5483870968,21481.48627,0.85,0.9375,4478,3500,0.2704402516,25000,30600,0.5,0.2
"204820","Associate's-degree","Public",9643,0.3713324982,0.4079374031,53341.21628,0.843,0.918,21875,6500,0.525548889,30400,39600,0.579420039,0.138
"161518","Bachelor's-degree","Private Nonprofit",24617,0.3986998917,0.3626760563,56223.03418,0.1893,0.4717,27000,5500,0.7269772481,34500,39100,0.790990991,0.066
"454722","Certificate-degree","Private For-profit",12942,0.6888888889,0.5076923077,18704.13209,0.8,0.7231,3969.5,5500,0.4167031045,25000,30600,0.4088072088,0.4
"230834","Bachelor's-degree","Public",15648,0.1319966583,0.3451957295,62328.14045,0.3273,0.7646,25000,7450,0.709273183,29000,34900,0.7872570194,0.081
"154022","Bachelor's-degree","Private For-profit",18411,0.957505217,0.5614939102,15934.7563,0.6115,0.7773,26563,4750,0.4495430249,32100,39100,0.2701678017,0.163
"445081","Associate's-degree","Private For-profit",22187,0.765962788,0.52367531,17679.94098,0.6195,0.826,18772,6334,0.297031896,29300,38800,0.2615683733,0.286
"179645","Associate's-degree","Public",6566,0.5822446556,0.6169455322,16192.9043,0.6104,0.2836,9911,4875,0.3159144893,19700,25400,0.3771498771,0.247
"152628","Certificate-degree","Private For-profit",8522,0.7090909091,0.5076923077,19935.83665,0.071,0.1097,5500,4750,0.4167031045,14100,30600,0.4782608696,0.062
"215886","Certificate-degree","Public",11842,0.7466666667,0.6611570248,26183.7829,0.45,0.7125,9829,4740,0.2,31400,34100,0.5328467153,0.173
"140678","Certificate-degree","Public",2651,0.5706311722,0.5545361876,19603.98724,0.7155,0.1162,4841.5,2750,0.2687848862,19900,20600,0.4088072088,0
"246406","Certificate-degree","Private For-profit",13286,0.8258064516,0.7610619469,10631.50419,0.5862,0.3276,3500,3400,0.2258064516,13900,16200,0.2777777778,0.541
"447777","Certificate-degree","Private For-profit",15828,0.8872483221,0.4660550459,13202.7928,0.533,0.5139,6844.5,3500,0.3208053691,31600,30600,0.4260089686,0.196
"443632","Certificate-degree","Private For-profit",19373,0.6970474968,0.4393491124,17069.85183,0.698,0.8612,9500,3167,0.2901155327,24000,27500,0.2973933649,0.149
"213455","Certificate-degree","Private For-profit",12484,0.6283783784,0.6346153846,26892.34691,0.2909,0.6152,3650,2750,0.2702702703,17400,16800,0.5339805825,0.071
"242130","Certificate-degree","Private For-profit",6376,0.5040767386,0.5466101695,0,0.6818,0,14000,5500,0.2103117506,12100,15800,0.1666666667,0.25
"192961","Associate's-degree","Private Nonprofit",14962.5,0.7731958763,0.3448275862,31246.68754,0.4,0.74,12000,5500,0.381443299,53200,45400,0.6351351351,0.16
