,PREDDEG_factor,Control_factor,NPT4_COMBINE,DEP_STAT_PCT_IND,PAR_ED_PCT_1STGEN,MD_FAMINC,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,APPL_SCH_PCT_GE2,MD_EARN_WNE_P6,MD_EARN_WNE_P10,RPY_3YR_RT_SUPP,CDR3
467562,Certificate-degree,Private For-profit,23260,0.611213802,0.511732261,13603.23841,0.6602,0.7379,14144,4750,0.459026494,18600,21500,0.336073998,0.097
173300,Bachelor's-degree,Private Nonprofit,21021,0.030621172,0.139252336,80153.49127,0.2629,0.6865,27000,7500,0.545931759,34300,41300,0.875,0.021
110422,Bachelor's-degree,Public,17566,0.100515464,0.255387241,69368.86711,0.1974,0.3576,18500,10000,0.715305313,45000,61800,0.83580962,0.038
196015,Associate's-degree,Public,12177,0.222582973,0.40315877,35741.84623,0.5318,0.6915,16150,6381,0.487734488,25300,32600,0.525263158,0.182
440369,Certificate-degree,Private For-profit,20045,0.713347609,0.566414041,11701.27806,0.7265,0.6679,9500,4750,0.34261242,17200,20600,0.098966027,0.196
138682,Certificate-degree,Public,2120,0.669158361,0.523243243,12942.45009,0.8972,0.6228,5569,3105,0.470099668,18500,21600,0.124242424,0.231
455716,Certificate-degree,Private For-profit,17162,0.78848353,0.533618923,13186.93475,0.8286,0.7736,17886.5,5945.5,0.417684164,20100,25300,0.14371517,0.282
101709,Bachelor's-degree,Public,13520,0.216006216,0.355426678,41139.3966,0.4111,0.5873,22000,6500,0.494172494,26700,34900,0.601664685,0.114
201928,Associate's-degree,Public,13340,0.618544124,0.507349378,18984.75127,0.4899,0.5998,17100,5459,0.407482717,24600,29100,0.331701807,0.229
188304,Bachelor's-degree,Public,9373,0.467164179,0.476363636,21527.50665,0.5135,0.3961,14750,6147,0.385074627,22300,31300,0.367601246,0.184
149231,Bachelor's-degree,Public,16114,0.20845871,0.339065894,51316.88674,0.3601,0.6004,20909,6500,0.528251421,33100,39800,0.711158006,0.075
200022,Associate's-degree,Public,8207,0.359043753,0.315789474,45570.18221,0.2653,0.4303,12000,5500,0.321154714,36500,38400,0.727411945,0.063
261676,Certificate-degree,Private For-profit,18461,0.784159333,0.566160521,15125.78537,0.6604,0.7594,9500,4750,0.339045855,21800,23200,0.311538462,0.234
200572,Bachelor's-degree,Public,11161,0.262350937,0.299256506,54433.60579,0.2535,0.5037,20838,5500,0.494037479,32500,37900,0.761394102,0.057
181783,Bachelor's-degree,Public,10603,0.149792777,0.344430218,55364.27312,0.4045,0.663,20000,5500,0.457075192,29200,36200,0.692367601,0.087
139940,Bachelor's-degree,Public,14467,0.295734742,0.312041617,30381.47158,0.5147,0.5945,20797,8250,0.635959874,32600,40800,0.460349127,0.081
376446,Certificate-degree,Private For-profit,15948,0.618705036,0.462809917,19096.10646,0.3506,0.4138,6500,2750,0.496402878,15200,14300,0.380645161,0.151
119340,Certificate-degree,Private For-profit,22349,0.734056988,0.53219697,11285.85093,0.6756,0.6221,9500,5185.5,0.383989145,16400,31600,0.150198676,0.207
368230,Certificate-degree,Private For-profit,14261,0.567251462,0.521857924,13838.02063,0.6568,0.6436,10988,5500,0.323586745,13000,16800,0.253012048,0.227
139630,Bachelor's-degree,Private Nonprofit,10938,0.129032258,0.361111111,41462.97503,0.5393,0.6472,25750,8200,0.587096774,24400,31200,0.476534296,0.115
188182,Bachelor's-degree,Private Nonprofit,14567,0.362229102,0.496350365,29571.93775,0.6474,0.7981,26625,6175,0.674922601,27900,40100,0.465648855,0.134
174251,Bachelor's-degree,Public,14187,0.077844311,0.177248677,69427.05929,0.2971,0.5336,20500,8345,0.507784431,30000,38900,0.756622517,0.076
156620,Bachelor's-degree,Public,10943,0.334026046,0.433469265,36228.18029,0.4363,0.6111,20500,6956,0.539623164,27200,34100,0.52480517,0.143
108250,Associate's-degree,Private For-profit,22528,0.765962788,0.52367531,17679.94098,0.6939,0.7848,18772,6334,0.297031896,29300,38800,0.261568373,0.286
108852,Certificate-degree,Private Nonprofit,38973,0.226299694,0.257525084,31708.6433,0.4051,0.5692,8375,5500,0.504587156,22300,27800,0.408450704,0.239
448497,Associate's-degree,Private For-profit,21994,0.765962788,0.52367531,17679.94098,0.8458,0.8822,18772,6334,0.297031896,29300,38800,0.261568373,0.286
110662,Bachelor's-degree,Public,14437,0.135980149,0.343613323,37365.1557,0.3617,0.3868,15100,9216,0.876823821,40900,59600,0.765497357,0.031
137759,Associate's-degree,Public,4821,0.375931362,0.469201219,20653.22677,0.4536,0.4031,8750.5,4500,0.540754121,22600,29900,0.327410618,0.24
437529,Certificate-degree,Private For-profit,22831,0.743019021,0.621359223,10302.70038,0.6304,0.8727,9500,4479,0.287333064,24800,31300,0.275449102,0.27
174747,Bachelor's-degree,Private Nonprofit,23381,0.025703794,0.186486487,86417.70541,0.2383,0.6563,25500,5500,0.659730722,37800,47200,0.934848485,0.015
191205,Bachelor's-degree,Private For-profit,23066,0.105555556,0.346391753,56500.99368,0.4071,0.7553,25000,8250,0.488888889,22700,33500,0.496309963,0.159
106148,Certificate-degree,Public,6016,0.651747394,0.509123435,17678.23168,0.3122,0.1174,9587,4278,0.322501533,23000,28000,0.379770992,0.223
